Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
312,FF,FF,10950.00,10950.00,0.00,1
313,02,0D,10950.00,10950.00,0.00,0
314,04,04,10950.00,10950.00,0.00,1
315,02,02,10950.00,11000.00,50.00,1
316,38,38,10950.00,10950.00,0.00,1
317,11,11,45800.00,77750.00,31950.00,1
318,AE,A3,49800.00,82750.00,32950.00,0
319,FF,FF,26350.00,43950.00,17600.00,1
320,FF,FF,9900.00,10000.00,100.00,1
321,02,0D,9900.00,9950.00,50.00,0
322,13,13,9850.00,9950.00,100.00,1
323,00,00,9900.00,9950.00,50.00,1
324,02,CC,9900.00,10000.00,100.00,0
325,00,08,9900.00,9950.00,50.00,0
326,00,00,9850.00,9950.00,100.00,1
327,00,00,9900.00,10000.00,100.00,1
328,01,00,9900.00,9950.00,50.00,0
329,00,00,9850.00,9950.00,100.00,1
330,78,7A,9900.00,10000.00,100.00,0
331,00,19,9900.00,9950.00,50.00,0
332,00,00,9850.00,9950.00,100.00,1
333,00,00,9900.00,10000.00,100.00,1
334,00,00,9900.00,9950.00,50.00,1
335,01,CC,9900.00,9950.00,50.00,0
336,00,08,9850.00,10000.00,150.00,0
337,00,00,9900.00,9950.00,50.00,1
338,00,00,9900.00,9950.00,50.00,1
339,00,00,9850.00,10000.00,150.00,1
340,00,00,9900.00,9950.00,50.00,1
341,6E,A4,9900.00,9950.00,50.00,0
342,FF,FF,50087700.00,49709800.00,-377900.00,1
343,FF,FF,10950.00,10950.00,0.00,1
344,02,0D,10950.00,10950.00,0.00,0
345,04,04,11000.00,10950.00,-50.00,1
346,02,02,10950.00,10950.00,0.00,1
347,38,38,10950.00,11000.00,50.00,1
348,11,11,56800.00,47800.00,-9000.00,1
349,AE,A3,122600.00,151400.00,28800.00,0
350,FF,FF,26050.00,41400.00,15350.00,1
351,FF,FF,9900.00,9950.00,50.00,1
352,02,0D,9900.00,10000.00,100.00,0
353,13,13,9850.00,9950.00,100.00,1
354,00,00,9900.00,9950.00,50.00,1
355,02,CC,9900.00,10000.00,100.00,0
356,00,08,9850.00,9950.00,100.00,0
357,00,00,9900.00,9950.00,50.00,1
358,00,00,9900.00,9950.00,50.00,1
359,01,00,9850.00,10000.00,150.00,0
360,00,00,9900.00,9950.00,50.00,1
361,78,7A,9900.00,9950.00,50.00,0
362,00,19,9900.00,9950.00,50.00,0
363,00,00,9850.00,10000.00,150.00,1
364,00,00,9900.00,9950.00,50.00,1
365,00,00,9900.00,9950.00,50.00,1
366,01,CC,9850.00,10000.00,150.00,0
367,00,08,9900.00,9950.00,50.00,0
368,00,00,9900.00,9950.00,50.00,1
369,00,00,9850.00,9950.00,100.00,1
370,00,00,9900.00,10000.00,100.00,1
371,00,00,9900.00,9950.00,50.00,1
372,6E,A4,9900.00,9950.00,50.00,0
373,FF,00,49135550.00,46447300.00,-2688250.00,0
374,FF,FF,10950.00,3328400.00,3317450.00,1
375,02,FF,10950.00,10950.00,0.00,0
376,04,0D,10950.00,10950.00,0.00,0
377,02,04,11000.00,10950.00,-50.00,0
378,38,02,10950.00,11000.00,50.00,0
379,11,38,21950.00,10950.00,-11000.00,0
380,AE,11,51800.00,68750.00,16950.00,0
381,FF,A3,28050.00,155400.00,127350.00,0
382,FF,FF,9900.00,41650.00,31750.00,1
383,02,FF,9900.00,9950.00,50.00,0
384,13,0D,9850.00,9950.00,100.00,0
385,00,13,9900.00,9950.00,50.00,0
386,02,00,9900.00,10000.00,100.00,0
387,00,CC,9850.00,9950.00,100.00,0
388,01,08,9900.00,9950.00,50.00,0
389,80,00,9900.00,10000.00,100.00,0
390,02,00,9900.00,9950.00,50.00,0
391,00,00,9850.00,9950.00,100.00,1
392,78,00,9900.00,10000.00,100.00,0
393,00,7A,9900.00,9950.00,50.00,0
394,00,19,9850.00,9950.00,100.00,0
395,00,00,9900.00,9950.00,50.00,1
396,00,00,9900.00,10000.00,100.00,1
397,01,00,9850.00,9950.00,100.00,0
398,00,CC,9900.00,9950.00,50.00,0
399,00,08,9900.00,9950.00,50.00,0
400,00,00,9850.00,10000.00,150.00,1
401,00,00,9900.00,9950.00,50.00,1
402,00,00,9900.00,9950.00,50.00,1
403,EC,00,9900.00,10000.00,100.00,0
404,00,A4,47883400.00,9950.00,-47873450.00,0
405,FF,FF,1783400.00,49175750.00,47392350.00,1
406,FF,FF,10950.00,10950.00,0.00,1
407,02,0D,11000.00,10950.00,-50.00,0
408,04,04,10950.00,11000.00,50.00,1
409,02,02,10950.00,10950.00,0.00,1
410,38,38,11000.00,10950.00,-50.00,1
411,11,11,23900.00,86750.00,62850.00,1
412,AE,A3,66750.00,120600.00,53850.00,0
413,FF,FF,26250.00,42700.00,16450.00,1
414,FF,FF,9900.00,9950.00,50.00,1
415,02,0D,9900.00,10000.00,100.00,0
416,13,13,9850.00,9950.00,100.00,1
417,00,00,9900.00,9950.00,50.00,1
418,02,CC,9900.00,10000.00,100.00,0
419,00,08,9850.00,9950.00,100.00,0
420,00,00,9900.00,9950.00,50.00,1
421,80,00,9900.00,10000.00,100.00,0
422,02,00,9850.00,9950.00,100.00,0
423,00,00,9900.00,9950.00,50.00,1
424,78,7A,9900.00,10000.00,100.00,0
425,00,19,9850.00,9950.00,100.00,0
426,00,00,9900.00,9950.00,50.00,1
427,00,00,9900.00,10000.00,100.00,1
428,00,00,9850.00,9950.00,100.00,1
429,01,CC,9900.00,9950.00,50.00,0
430,00,08,9900.00,10000.00,100.00,0
431,00,00,9900.00,9950.00,50.00,1
432,00,00,9850.00,9950.00,100.00,1
433,00,00,9900.00,10000.00,100.00,1
434,00,00,9900.00,9950.00,50.00,1
435,ED,A4,9850.00,9950.00,100.00,0
436,FF,FF,49619450.00,49338250.00,-281200.00,1
437,FF,FF,10950.00,11000.00,50.00,1
438,02,0D,11000.00,10950.00,-50.00,0
439,04,04,10950.00,10950.00,0.00,1
440,02,02,10950.00,10950.00,0.00,1
441,38,38,10950.00,11000.00,50.00,1
442,11,11,45800.00,94650.00,48850.00,1
443,AE,A3,61800.00,140550.00,78750.00,0
444,FF,FF,27500.00,50050.00,22550.00,1
445,FF,FF,9850.00,9950.00,100.00,1
446,02,0D,9900.00,9950.00,50.00,0
447,13,13,9900.00,10000.00,100.00,1
448,00,00,9850.00,9950.00,100.00,1
449,02,CC,9900.00,9950.00,50.00,0
450,00,08,9900.00,10000.00,100.00,0
451,00,00,9850.00,9950.00,100.00,1
452,80,00,9900.00,9950.00,50.00,0
453,02,00,9900.00,10000.00,100.00,0
454,00,00,9850.00,9950.00,100.00,1
455,78,7A,9900.00,9950.00,50.00,0
456,00,19,9900.00,10000.00,100.00,0
457,00,00,9900.00,9950.00,50.00,1
458,00,00,9850.00,9950.00,100.00,1
459,00,00,9900.00,10000.00,100.00,1
460,01,CC,9900.00,9950.00,50.00,0
461,00,08,9850.00,9950.00,100.00,0
462,00,00,9900.00,10000.00,100.00,1
463,00,00,9900.00,9950.00,50.00,1
464,00,00,9850.00,9950.00,100.00,1
465,00,00,9900.00,10000.00,100.00,1
466,ED,A4,9900.00,9950.00,50.00,0
467,FF,FF,50239750.00,49413000.00,-826750.00,1
468,FF,FF,11000.00,10950.00,-50.00,1
469,02,0D,10950.00,11000.00,50.00,0
470,04,04,10950.00,10950.00,0.00,1
471,02,02,11000.00,10950.00,-50.00,1
472,38,38,10950.00,11000.00,50.00,1
473,11,11,11950.00,126550.00,114600.00,1
474,AE,A3,54850.00,228250.00,173400.00,0
475,FF,FF,26300.00,43900.00,17600.00,1
476,FF,FF,9900.00,9950.00,50.00,1
477,02,0D,9850.00,10000.00,150.00,0
478,13,13,9900.00,9950.00,50.00,1
479,00,00,9900.00,9950.00,50.00,1
480,02,CC,9850.00,10000.00,150.00,0
481,00,08,9900.00,9950.00,50.00,0
482,00,00,9900.00,9950.00,50.00,1
483,80,00,9850.00,10000.00,150.00,0
484,03,00,9900.00,9950.00,50.00,0
485,00,00,9900.00,9950.00,50.00,1
486,78,7A,9850.00,10000.00,150.00,0
487,00,19,9900.00,9950.00,50.00,0
488,00,00,9900.00,9950.00,50.00,1
489,00,00,9850.00,9950.00,100.00,1
490,00,00,9900.00,10000.00,100.00,1
491,01,CC,9900.00,9950.00,50.00,0
492,00,08,9900.00,9950.00,50.00,0
493,00,00,9850.00,9950.00,100.00,1
494,00,00,9900.00,10000.00,100.00,1
495,00,00,9900.00,9950.00,50.00,1
496,00,00,9850.00,9950.00,100.00,1
497,EC,A4,9900.00,10000.00,100.00,0
498,FF,FF,49227000.00,49105350.00,-121650.00,1
499,FF,FF,10950.00,10950.00,0.00,1
500,02,0D,11000.00,11000.00,0.00,0
501,04,04,10950.00,10950.00,0.00,1
502,02,02,11000.00,10950.00,-50.00,1
503,38,38,10950.00,11000.00,50.00,1
504,11,11,47850.00,124550.00,76700.00,1
505,AE,A3,59800.00,80700.00,20900.00,0
506,FF,FF,26300.00,43900.00,17600.00,1
507,FF,FF,9900.00,9950.00,50.00,1
508,02,0D,9850.00,10000.00,150.00,0
509,13,13,9900.00,9950.00,50.00,1
510,00,00,9850.00,9950.00,100.00,1
511,02,CC,9900.00,10000.00,100.00,0
512,00,08,9900.00,9950.00,50.00,0
513,00,00,9850.00,9950.00,100.00,1
514,80,00,9900.00,9950.00,50.00,0
515,03,00,9900.00,10000.00,100.00,0
516,00,00,9900.00,9950.00,50.00,1
517,78,7A,9850.00,9950.00,100.00,0
518,00,19,9900.00,10000.00,100.00,0
519,00,00,9900.00,9950.00,50.00,1
520,00,00,9850.00,9950.00,100.00,1
521,00,00,9900.00,10000.00,100.00,1
522,01,CC,9900.00,9950.00,50.00,0
523,00,08,9850.00,9950.00,100.00,0
524,00,00,9900.00,10000.00,100.00,1
525,00,00,9900.00,9950.00,50.00,1
526,00,00,9900.00,9950.00,50.00,1
527,00,00,9850.00,10000.00,150.00,1
528,EC,A4,9900.00,9950.00,50.00,0
529,FF,FF,49449500.00,49951900.00,502400.00,1
530,FF,FF,10950.00,10950.00,0.00,1
531,02,0D,10950.00,11000.00,50.00,0
532,04,04,10950.00,10950.00,0.00,1
533,02,02,10950.00,10950.00,0.00,1
534,38,38,11000.00,10950.00,-50.00,1
535,11,11,176300.00,133600.00,-42700.00,1
536,AE,A3,59750.00,122550.00,62800.00,0
537,FF,FF,25600.00,45700.00,20100.00,1
538,FF,FF,9900.00,10000.00,100.00,1
539,02,0D,9900.00,9950.00,50.00,0
540,13,13,9850.00,9950.00,100.00,1
541,00,00,9900.00,10000.00,100.00,1
542,02,CC,9900.00,9950.00,50.00,0
543,00,08,9850.00,10000.00,150.00,0
544,00,00,9900.00,9950.00,50.00,1
545,80,00,9900.00,9950.00,50.00,0
546,03,00,9900.00,10000.00,100.00,0
547,00,00,9850.00,9950.00,100.00,1
548,78,7A,9900.00,9950.00,50.00,0
549,00,19,9850.00,10000.00,150.00,0
550,00,00,9900.00,9950.00,50.00,1
551,00,00,9900.00,9950.00,50.00,1
552,00,00,9900.00,10000.00,100.00,1
553,01,CC,9850.00,9950.00,100.00,0
554,00,08,9900.00,9950.00,50.00,0
555,00,00,9900.00,10000.00,100.00,1
556,00,00,9850.00,9950.00,100.00,1
557,00,00,9900.00,9950.00,50.00,1
558,00,00,9900.00,10000.00,100.00,1
559,EC,A4,9850.00,9950.00,100.00,0
560,FF,FF,49525150.00,48975150.00,-550000.00,1
561,FF,FF,10950.00,10950.00,0.00,1
562,02,0D,10950.00,11000.00,50.00,0
563,04,04,10950.00,10950.00,0.00,1
564,02,02,11000.00,10950.00,-50.00,1
565,38,38,10950.00,10950.00,0.00,1
566,11,11,10950.00,54800.00,43850.00,1
567,AE,A3,64800.00,129600.00,64800.00,0
568,FF,FF,29100.00,45050.00,15950.00,1
569,FF,FF,9850.00,9950.00,100.00,1
570,02,0D,9900.00,10000.00,100.00,0
571,13,13,9900.00,9950.00,50.00,1
572,00,00,9850.00,9950.00,100.00,1
573,02,CC,9900.00,10000.00,100.00,0
574,00,08,9900.00,9950.00,50.00,0
575,00,00,9900.00,9950.00,50.00,1
576,80,00,9850.00,10000.00,150.00,0
577,04,00,9900.00,9950.00,50.00,0
578,00,00,9900.00,9950.00,50.00,1
579,78,7A,9850.00,10000.00,150.00,0
580,00,19,9900.00,9950.00,50.00,0
581,00,00,9900.00,9950.00,50.00,1
582,00,00,9850.00,10000.00,150.00,1
583,00,00,9900.00,9950.00,50.00,1
584,01,CC,9900.00,9950.00,50.00,0
585,00,08,9850.00,10000.00,150.00,0
586,00,00,9900.00,9950.00,50.00,1
587,00,00,9900.00,9950.00,50.00,1
588,00,00,9850.00,10000.00,150.00,1
589,00,00,9900.00,9950.00,50.00,1
590,EB,A4,9900.00,9950.00,50.00,0
591,FF,FF,49672000.00,49527500.00,-144500.00,1
592,FF,FF,10950.00,10950.00,0.00,1
593,02,0D,10950.00,10950.00,0.00,0
594,04,04,10950.00,10950.00,0.00,1
595,02,02,10950.00,11000.00,50.00,1
596,38,38,10950.00,10950.00,0.00,1
597,11,11,18950.00,115600.00,96650.00,1
598,AE,A3,61750.00,93700.00,31950.00,0
599,FF,FF,25350.00,43300.00,17950.00,1
600,FF,FF,9850.00,9950.00,100.00,1
601,02,0D,9900.00,9950.00,50.00,0
602,13,13,9850.00,9950.00,100.00,1
603,00,00,9900.00,10000.00,100.00,1
604,02,CC,9900.00,9950.00,50.00,0
605,00,08,9900.00,9950.00,50.00,0
606,00,00,9850.00,10000.00,150.00,1
607,80,00,9900.00,9950.00,50.00,0
608,04,00,9900.00,9950.00,50.00,0
609,00,00,9850.00,9950.00,100.00,1
610,78,7A,9900.00,10000.00,100.00,0
611,00,19,9900.00,9950.00,50.00,0
612,00,00,9850.00,10000.00,150.00,1
613,00,00,9900.00,9950.00,50.00,1
614,00,00,9900.00,9950.00,50.00,1
615,01,CC,9850.00,9950.00,100.00,0
616,00,08,9900.00,10000.00,100.00,0
617,00,00,9900.00,9950.00,50.00,1
618,00,00,9900.00,9950.00,50.00,1
619,00,00,9850.00,10000.00,150.00,1
620,00,00,9900.00,9950.00,50.00,1
621,EB,A4,9900.00,9950.00,50.00,0
