Id,OursHex,OemHex,VirtHex,OursDelta[ns],OemDelta[ns],VirtDelta[ns],OemMinusOurs[ns],VirtMinusOurs[ns],VirtMinusOem[ns]
312,FF,FF,FF,49456100.00,10950.00,11000.00,-49445150.00,-49445100.00,50.00
313,FF,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
314,02,04,04,10950.00,10950.00,11000.00,0.00,50.00,50.00
315,04,02,02,10950.00,11000.00,10950.00,50.00,0.00,-50.00
316,02,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
317,38,11,11,11000.00,77750.00,90700.00,66750.00,79700.00,12950.00
318,11,A3,AD,112600.00,82750.00,64750.00,-29850.00,-47850.00,-18000.00
319,AE,FF,FF,135500.00,43950.00,42750.00,-91550.00,-92750.00,-1200.00
320,FF,FF,FF,56200.00,10000.00,9950.00,-46200.00,-46250.00,-50.00
321,FF,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
322,02,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
323,13,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
324,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
325,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
326,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
327,00,00,00,12800.00,10000.00,10000.00,-2800.00,-2800.00,0.00
328,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
329,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
330,04,7A,7A,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
331,78,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
332,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
333,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
334,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
335,00,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
336,01,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
337,00,00,9F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
338,00,00,03,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
339,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
340,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
341,00,A4,E1,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
342,CE,FF,FF,12850.00,49709800.00,50121400.00,49696950.00,50108550.00,411600.00
343,FF,FF,FF,49355250.00,10950.00,10950.00,-49344300.00,-49344300.00,0.00
344,FF,0D,03,11000.00,10950.00,11000.00,-50.00,0.00,50.00
345,02,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
346,04,02,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
347,02,38,38,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
348,38,11,11,10950.00,47800.00,120550.00,36850.00,109600.00,72750.00
349,11,A3,AD,129550.00,151400.00,57800.00,21850.00,-71750.00,-93600.00
350,AE,FF,FF,121600.00,41400.00,43700.00,-80200.00,-77900.00,2300.00
351,FF,FF,FF,56500.00,9950.00,9950.00,-46550.00,-46550.00,0.00
352,FF,0D,03,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
353,02,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
354,13,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
355,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
356,00,08,07,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
357,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
358,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
359,80,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
360,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
361,04,7A,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
362,78,19,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
363,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
364,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
365,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
366,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
367,01,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
368,00,00,9F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
369,00,00,03,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
370,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
371,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
372,00,A4,E1,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
373,CE,00,FF,12800.00,46447300.00,49001850.00,46434500.00,48989050.00,2554550.00
374,FF,FF,FF,49175900.00,3328400.00,10950.00,-45847500.00,-49164950.00,-3317450.00
375,FF,FF,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
376,02,0D,04,10950.00,10950.00,11000.00,0.00,50.00,50.00
377,04,04,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
378,02,02,38,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
379,38,38,11,10950.00,10950.00,16950.00,0.00,6000.00,6000.00
380,11,11,AD,115550.00,68750.00,113600.00,-46800.00,-1950.00,44850.00
381,AE,A3,FF,127600.00,155400.00,42500.00,27800.00,-85100.00,-112900.00
382,FF,FF,FF,58400.00,41650.00,9950.00,-16750.00,-48450.00,-31700.00
383,FF,FF,03,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
384,02,0D,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
385,13,13,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
386,00,00,6F,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
387,00,CC,07,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
388,00,08,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
389,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
390,80,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
391,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
392,04,00,7A,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
393,78,7A,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
394,00,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
395,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
396,00,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
397,00,00,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
398,01,CC,07,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
399,00,08,9F,13850.00,9950.00,9950.00,-3900.00,-3900.00,0.00
400,00,00,03,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
401,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
402,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
403,00,00,E1,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
404,CE,A4,FF,12850.00,9950.00,49628350.00,-2900.00,49615500.00,49618400.00
405,FF,FF,FF,49176300.00,49175750.00,10950.00,-550.00,-49165350.00,-49164800.00
406,FF,FF,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
407,02,0D,04,10950.00,10950.00,11000.00,0.00,50.00,50.00
408,04,04,02,10950.00,11000.00,10950.00,50.00,0.00,-50.00
409,02,02,38,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
410,38,38,11,10950.00,10950.00,111650.00,0.00,100700.00,100700.00
411,11,11,AD,83650.00,86750.00,59800.00,3100.00,-23850.00,-26950.00
412,AE,A3,FF,126550.00,120600.00,45350.00,-5950.00,-81200.00,-75250.00
413,FF,FF,FF,36150.00,42700.00,9950.00,6550.00,-26200.00,-32750.00
414,FF,FF,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
415,02,0D,13,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
416,13,13,00,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
417,00,00,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
418,00,CC,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
419,00,08,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
420,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
421,80,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
422,1F,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
423,04,00,7A,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
424,78,7A,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
425,00,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
426,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
427,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
428,00,00,6F,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
429,01,CC,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
430,00,08,A0,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
431,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
432,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
433,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
434,00,00,E0,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
435,CE,A4,FF,12850.00,9950.00,50134200.00,-2900.00,50121350.00,50124250.00
436,FF,FF,FF,49400900.00,49338250.00,11000.00,-62650.00,-49389900.00,-49327250.00
437,FF,FF,03,10950.00,11000.00,10950.00,50.00,0.00,-50.00
438,02,0D,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
439,04,04,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
440,02,02,38,11000.00,10950.00,11000.00,-50.00,0.00,50.00
441,38,38,11,10950.00,11000.00,77700.00,50.00,66750.00,66700.00
442,11,11,AD,93650.00,94650.00,63800.00,1000.00,-29850.00,-30850.00
443,AE,A3,FF,104600.00,140550.00,45550.00,35950.00,-59050.00,-95000.00
444,FF,FF,FF,57350.00,50050.00,9950.00,-7300.00,-47400.00,-40100.00
445,FF,FF,03,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
446,02,0D,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
447,13,13,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
448,00,00,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
449,00,CC,07,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
450,00,08,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
451,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
452,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
453,1F,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
454,04,00,7A,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
455,78,7A,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
456,00,19,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
457,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
458,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
459,00,00,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
460,01,CC,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
461,00,08,A0,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
462,00,00,03,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
463,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
464,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
465,00,00,E0,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
466,CE,A4,FF,12850.00,9950.00,48914050.00,-2900.00,48901200.00,48904100.00
467,FF,FF,FF,49648550.00,49413000.00,10950.00,-235550.00,-49637600.00,-49402050.00
468,FF,FF,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
469,02,0D,04,10950.00,11000.00,11000.00,50.00,50.00,0.00
470,04,04,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
471,02,02,38,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
472,38,38,11,10950.00,11000.00,52850.00,50.00,41900.00,41850.00
473,11,11,AD,77700.00,126550.00,106650.00,48850.00,28950.00,-19900.00
474,AE,A3,FF,120600.00,228250.00,42550.00,107650.00,-78050.00,-185700.00
475,FF,FF,FF,57550.00,43900.00,10000.00,-13650.00,-47550.00,-33900.00
476,FF,FF,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
477,02,0D,13,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
478,13,13,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
479,00,00,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
480,00,CC,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
481,00,08,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
482,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
483,80,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
484,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
485,04,00,7A,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
486,78,7A,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
487,00,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
488,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
489,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
490,00,00,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
491,01,CC,07,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
492,00,08,A1,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
493,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
494,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
495,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
496,00,00,DF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
497,CE,A4,FF,12850.00,10000.00,49421100.00,-2850.00,49408250.00,49411100.00
498,FF,FF,FF,48892850.00,49105350.00,11000.00,212500.00,-48881850.00,-49094350.00
499,FF,FF,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
500,02,0D,04,10950.00,11000.00,10950.00,50.00,0.00,-50.00
501,04,04,02,10950.00,10950.00,11000.00,0.00,50.00,50.00
502,02,02,38,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
503,38,38,11,10950.00,11000.00,95700.00,50.00,84750.00,84700.00
504,11,11,AD,99600.00,124550.00,133550.00,24950.00,33950.00,9000.00
505,AE,A3,FF,110650.00,80700.00,43150.00,-29950.00,-67500.00,-37550.00
506,FF,FF,FF,56950.00,43900.00,9950.00,-13050.00,-47000.00,-33950.00
507,FF,FF,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
508,02,0D,13,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
509,13,13,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
510,00,00,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
511,00,CC,07,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
512,00,08,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
513,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
514,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
515,1F,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
516,04,00,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
517,78,7A,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
518,00,19,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
519,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
520,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
521,00,00,6F,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
522,01,CC,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
523,00,08,A0,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
524,00,00,03,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
525,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
526,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
527,00,00,E0,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
528,CE,A4,00,12850.00,9950.00,7763000.00,-2900.00,7750150.00,7753050.00
529,FF,FF,FF,50046800.00,49951900.00,41522250.00,-94900.00,-8524550.00,-8429650.00
530,FF,FF,FF,10950.00,10950.00,11000.00,0.00,50.00,50.00
531,02,0D,03,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
532,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
533,02,02,02,10950.00,10950.00,11000.00,0.00,50.00,50.00
534,38,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
535,11,11,11,115600.00,133600.00,147500.00,18000.00,31900.00,13900.00
536,AE,A3,AD,111700.00,122550.00,152550.00,10850.00,40850.00,30000.00
537,FF,FF,FF,37200.00,45700.00,48950.00,8500.00,11750.00,3250.00
538,FF,FF,FF,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
539,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
540,13,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
541,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
542,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
543,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
544,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
545,80,00,00,12800.00,9950.00,10000.00,-2850.00,-2800.00,50.00
546,1F,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
547,04,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
548,78,7A,7A,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
549,00,19,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
550,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
551,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
552,00,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
553,01,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
554,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
555,00,00,A2,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
556,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
557,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
558,00,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
559,CE,A4,DE,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
560,FF,FF,FF,49306400.00,48975150.00,49978900.00,-331250.00,672500.00,1003750.00
561,FF,FF,FF,10950.00,10950.00,10950.00,0.00,0.00,0.00
562,02,0D,03,10950.00,11000.00,10950.00,50.00,0.00,-50.00
563,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
564,02,02,02,10950.00,10950.00,10950.00,0.00,0.00,0.00
565,38,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
566,11,11,11,142450.00,54800.00,43850.00,-87650.00,-98600.00,-10950.00
567,AE,A3,AD,134450.00,129600.00,128600.00,-4850.00,-5850.00,-1000.00
568,FF,FF,FF,57850.00,45050.00,42350.00,-12800.00,-15500.00,-2700.00
569,FF,FF,FF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
570,02,0D,03,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
571,13,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
572,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
573,00,CC,6F,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
574,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
575,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
576,80,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
577,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
578,04,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
579,78,7A,7A,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
580,00,19,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
581,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
582,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
583,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
584,01,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
585,00,08,07,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
586,00,00,A1,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
587,00,00,03,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
588,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
589,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
590,CE,A4,DF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
591,FF,FF,FF,49639300.00,49527500.00,49160550.00,-111800.00,-478750.00,-366950.00
592,FF,FF,FF,10950.00,10950.00,10950.00,0.00,0.00,0.00
593,02,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
594,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
595,02,02,02,11000.00,11000.00,11000.00,0.00,0.00,0.00
596,38,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
597,11,11,11,89700.00,115600.00,45850.00,25900.00,-43850.00,-69750.00
598,AE,A3,AD,109650.00,93700.00,236100.00,-15950.00,126450.00,142400.00
599,FF,FF,FF,56550.00,43300.00,43400.00,-13250.00,-13150.00,100.00
600,FF,FF,FF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
601,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
602,13,13,13,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
603,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
604,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
605,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
606,00,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
607,80,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
608,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
609,04,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
610,78,7A,7A,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
611,00,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
612,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
613,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
614,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
615,01,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
616,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
617,00,00,A2,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
618,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
619,00,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
620,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
621,CE,A4,DE,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
